Language,Code,ChatGPT,Success rate,ChatGPT Average,Min Max Scaling,Google Bard,Success Rate,Google Bard Average,Min Max Scaling,,Chat Sonic,Success Rate,Chat Sonic Average,Min Max Scaling,Perplexity,Success Rate,Perplexity Average,Min Max Scaling,Microsoft Bing AI,Success Rate,Bing AI Average,Min Max Scaling
Python,Fibonacci Series,"7.07, 7.49, 6.66",100%,7.07,0.069,"8.77, 7.62, 7.20",100%,7.86,0.105,,"5.67, 6.53, 4.46",100%,5.55,0,6.86,100%,6.86,0.059,"18.53, 21.13, 22.15",100%,20.60333333,0.684
,Reversing Linked List,"8.72, 11.92, 11.82",100%,10.82,0.239,"11.62, 7.53, 7.97",100%,9.04,0.158,,"6.93, 7.36, 6.85",100%,7.04,0.067,6.39,100%,6.39,0.038,"31.77, 21.10, 29.77",100%,27.54666667,1
,BFS algorithm,"7.83, 8.26, 9.02",100%,8.37,0.128,"7.71, 10.83, 8.12",100%,8.88,0.151,,"7.50, 6.07, 6.19",100%,6.58,0.047,6.63,100%,6.63,0.049,"25.98, 24.48,  25.70",100%,25.38666667,0.901
,Merge Sort,"11.76, 11.25, 13.02",100%,12.01,0.294,"8.06,10.21, 8.54",100%,8.936666667,0.154,,"7.83, 7.49, 8.05",100%,7.79,0.101,7.88,100%,7.88,0.106,0,0.00%,NA,NA
,Fractional Knapsack,"15.21, 13.92, 15.09",100%,14.74,0.418,"8.26, 7.44, 8.92",100%,8.206666667,0.121,,"8.41, 8.58, 7.57",100%,8.186666667,0.149,9.22,100%,9.22,0.166,0,0.00%,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Java,Fibonacci Series,"11.42, 8.27, 19.38",100%,13.02,0.339,"7.02, 8.21, 7.32",100%,7.48,0.088,,"6.30, 5.70, 5.44",100%,5.81,0.012,6.62,100%,6.62,0.049,"13.15, 11.58, 15.81",100%,13.51333333,0.362
,Reversing Linked List,"9.79, 14.96, 15.34",100%,13.36,0.355,"8.99, 7.85, 8.25",100%,8.36,0.128,,"6.22, 8.56, 7.29",100%,7.35,0.082,6.22,100%,6.22,0.03,"19.20, 26.11, 28.37",100%,24.56,0.864
,BFS algorithm,"11.26, 20.15, 10.87",100%,14.09,0.388,"16.03, 10.89, 8.86",100%,11.92,0.289,,"8.94, 8.82, 8.57",100%,8.77,0.146,7.79,100%,7.79,0.101,"21.02, 19.05, 19.18",100%,19.75,0.645
,Merge Sort,"19.05, 18.69, 20.18",100%,19.30666667,0.625,"13.05, 12.55, 16.38",100%,13.99333333,0.384,,"12.10, 11.51, 10.89",100%,11.5,0.271,9.6,100%,9.6,0.184,0,0%,NA,NA
,Fractional Knapsack,"18.99, 19.90, 18.74",100%,19.21,0.62,"15.8, 17.24, 16.50",100%,16.51333333,0.498,,"8.75, 9.08, 8.13",100%,8.653333333,0.141,8.83,100%,8.83,0.149,0,0%,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
CPP,Fibonacci Series,"6.05, 5.65, 7.44",100%,6.38,0.037,"10.13, 15.53, 7.04",100%,10.9,0.243,,"5.52, 6.14, 6.16",100%,5.94,0.018,8.67,100%,8.67,0.142,"20.75, 21.75, 22.78 (fail once)",75.00%,21.76,0.737
,Reversing Linked List,"10.32, 9.75, 18.06",100%,12.71,0.325,"9.12, 10.07, 9.49",100%,9.56,0.182,,"9.67, 6.19, 5.89",100%,7.25,0.077,6.03,100%,6.03,0.021,"20.79, 25.31, 22.12 (failed once)",75.00%,22.74,0.781
,BFS algorithm,"13.75, 13.33, 14.06",100%,13.71,0.371,"8.66, 11.65, 9.04",100%,9.78,0.192,,"11.93, 8.90, 9.01",100%,9.946666667,0.199,9.62,100%,9.62,0.185,"19.17, 20.18, 18.57",100.00%,19.30666667,0.625
,Merge Sort,"17.01, 18.47, 18.11",100%,17.86333333,0.559,"16.34, 16.89, 15.22",100%,16.15,0.481,,"10.27, 10.48, 9.67",100%,10.14,0.209,9.16,100%,9.16,0.164,0,0.00%,NA,NA
,Fractional Knapsack,"17.54, 18.17, 15.06",100%,16.92333333,0.516,"16.09, 14.21, 14.99",100%,15.09666667,0.434,,"8.33, 7.49, 7.77",100%,7.863333333,0.105,7.46,100%,7.46,0.086,0,0.00%,NA,NA
